price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,fake_address,fake_zip_code
13300000,7420,4,2,3,1,0,0,0,1,2,1,1.0,1871 Centre St N,T2S 764
12250000,8960,4,4,4,1,0,0,0,1,3,0,0.5,1471 Elbow Dr SW,T2E 021
12250000,9960,3,2,2,1,0,1,0,0,2,1,0.5,1155 Macleod Tr SE,T3E 646
12215000,7500,4,2,2,1,0,1,0,1,3,1,1.0,1161 Elbow Dr SW,T2S 270
11410000,7420,4,1,2,1,1,1,0,1,2,0,0.5,1687 Macleod Tr SE,T2G 890
10850000,7500,3,3,1,1,0,1,0,1,2,1,0.5,1331 Elbow Dr SW,T2E 184
10150000,8580,4,3,4,1,0,0,0,1,2,1,0.5,1311 Macleod Tr SE,T2G 547
10150000,16200,5,3,2,1,0,0,0,0,0,0,0.0,1059 Centre St N,T2E 277
9870000,8100,4,1,2,1,1,1,0,1,2,1,0.5,1561 Macleod Tr SE,T2L 946
9800000,5750,3,2,4,1,1,0,0,1,1,1,0.5,1877 Northmount Dr NW,T2G 863
9800000,13200,3,1,2,1,0,1,0,1,2,1,1.0,1024 Macleod Tr SE,T2E 653
9681000,6000,4,3,2,1,1,1,1,0,2,0,0.5,1344 Centre St N,T2E 427
9310000,6550,4,2,2,1,0,0,0,1,1,1,0.5,1095 Elbow Dr SW,T2G 011
9240000,3500,4,2,2,1,0,0,1,0,2,0,1.0,1237 Northmount Dr NW,T2L 755
9240000,7800,3,2,2,1,0,0,0,0,0,1,0.5,1013 Macleod Tr SE,T3E 854
9100000,6000,4,1,2,1,0,1,0,0,2,0,0.5,1245 Elbow Dr SW,T2G 118
9100000,6600,4,2,2,1,1,1,0,1,1,1,0.0,1314 Elbow Dr SW,T2E 333
8960000,8500,3,2,4,1,0,0,0,1,2,0,0.5,1304 Elbow Dr SW,T3E 195
8890000,4600,3,2,2,1,1,0,0,1,2,0,1.0,1954 Macleod Tr SE,T3E 069
8855000,6420,3,2,2,1,0,0,0,1,1,1,0.5,1558 Centre St N,T2L 167
8750000,4320,3,1,2,1,0,1,1,0,2,0,0.5,1563 Macleod Tr SE,T2G 149
8680000,7155,3,2,1,1,1,1,0,1,2,0,0.5,1886 Northmount Dr NW,T2E 225
8645000,8050,3,1,1,1,1,1,0,1,1,0,1.0,1590 Centre St N,T3E 144
8645000,4560,3,2,2,1,1,1,0,1,1,0,0.5,1907 Elbow Dr SW,T2L 108
8575000,8800,3,2,2,1,0,0,0,1,2,0,1.0,1861 Elbow Dr SW,T2L 987
8540000,6540,4,2,2,1,1,1,0,1,2,1,1.0,1711 Macleod Tr SE,T3E 638
8463000,6000,3,2,4,1,1,1,0,1,0,1,0.5,1916 Crowchild Tr SW,T2G 887
8400000,8875,3,1,1,1,0,0,0,0,1,0,0.5,1488 Centre St N,T2S 753
